Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
05/08/2022,20:00,Crystal Palace,Arsenal,0,2,A,0,1,A,A Taylor,10,10,2,2,16,11,3,5,1,2,0,0
20/08/2022,15:00,Crystal Palace,Aston Villa,3,1,H,1,1,D,A Madley,17,13,9,5,16,14,4,2,2,1,0,0
30/08/2022,19:30,Crystal Palace,Brentford,1,1,D,0,0,D,S Hooper,13,9,4,3,11,8,4,6,1,2,0,0
01/10/2022,15:00,Crystal Palace,Chelsea,1,2,A,1,1,D,C Kavanagh,7,13,3,3,11,13,5,2,1,3,0,0
09/10/2022,14:00,Crystal Palace,Leeds,2,1,H,1,1,D,P Tierney,13,10,5,4,13,23,5,3,3,3,0,0
18/10/2022,20:15,Crystal Palace,Wolves,2,1,H,0,1,A,D Coote,14,10,4,4,14,18,4,3,3,1,0,0
29/10/2022,15:00,Crystal Palace,Southampton,1,0,H,1,0,H,M Salisbury,12,14,3,4,13,12,8,4,3,3,0,0
26/12/2022,15:00,Crystal Palace,Fulham,0,3,A,0,1,A,A Madley,4,23,0,11,12,15,1,8,0,0,2,0
04/01/2023,20:00,Crystal Palace,Tottenham,0,4,A,0,0,D,M Oliver,19,14,4,6,11,8,10,4,1,2,0,0
18/01/2023,20:00,Crystal Palace,Man United,1,1,D,0,1,A,R Jones,10,15,5,4,9,10,3,3,1,2,0,0
21/01/2023,17:30,Crystal Palace,Newcastle,0,0,D,0,0,D,C Pawson,6,16,1,7,13,7,3,15,4,2,0,0
11/02/2023,15:00,Crystal Palace,Brighton,1,1,D,0,0,D,M Oliver,6,17,1,7,10,11,1,6,4,1,0,0
25/02/2023,19:45,Crystal Palace,Liverpool,0,0,D,0,0,D,D England,6,12,0,4,11,14,5,3,2,5,0,0
11/03/2023,17:30,Crystal Palace,Man City,0,1,A,0,0,D,R Jones,4,14,0,4,11,17,2,6,2,2,0,0
01/04/2023,15:00,Crystal Palace,Leicester,2,1,H,0,0,D,T Robinson,31,3,9,2,12,16,10,1,3,4,0,0
22/04/2023,15:00,Crystal Palace,Everton,0,0,D,0,0,D,J Brooks,12,10,2,5,12,14,8,1,1,1,0,1
29/04/2023,12:30,Crystal Palace,West Ham,4,3,H,3,2,H,C Pawson,16,8,6,4,9,17,8,5,1,2,0,0
13/05/2023,15:00,Crystal Palace,Bournemouth,2,0,H,1,0,H,M Salisbury,17,5,5,0,5,12,11,2,0,2,0,0
28/05/2023,16:30,Crystal Palace,Nottingham,1,1,D,0,1,A,J Bramall,16,7,4,4,9,13,5,4,0,2,0,0
15/08/2022,20:00,Liverpool,Crystal Palace,1,1,D,0,1,A,P Tierney,24,7,4,3,7,8,4,2,2,4,1,0
27/08/2022,15:00,Man City,Crystal Palace,4,2,H,0,2,A,D England,18,2,5,2,14,8,6,1,1,2,0,0
03/09/2022,15:00,Newcastle,Crystal Palace,0,0,D,0,0,D,M Salisbury,23,19,6,9,19,12,13,5,2,1,0,0
15/10/2022,12:30,Leicester,Crystal Palace,0,0,D,0,0,D,A Madley,14,8,5,1,18,13,9,2,2,2,0,0
22/10/2022,15:00,Everton,Crystal Palace,3,0,H,1,0,H,S Hooper,9,9,6,2,16,14,3,4,3,4,0,0
06/11/2022,14:00,West Ham,Crystal Palace,1,2,A,1,1,D,P Tierney,5,15,2,6,10,7,2,5,1,1,0,0
12/11/2022,15:00,Nottingham,Crystal Palace,1,0,H,0,0,D,J Brooks,9,8,2,0,11,13,1,5,1,4,0,0
31/12/2022,15:00,Bournemouth,Crystal Palace,0,2,A,0,2,A,A Marriner,6,15,2,6,17,11,2,7,4,1,0,0
15/01/2023,14:00,Chelsea,Crystal Palace,1,0,H,0,0,D,P Bankes,15,10,5,5,10,17,11,7,2,5,0,0
04/02/2023,15:00,Man United,Crystal Palace,2,1,H,1,0,H,A Marriner,14,10,5,3,9,9,5,5,1,2,1,0
18/02/2023,15:00,Brentford,Crystal Palace,1,1,D,0,0,D,P Tierney,12,10,5,4,10,8,2,6,2,2,0,0
04/03/2023,15:00,Aston Villa,Crystal Palace,1,0,H,1,0,H,C Pawson,8,3,1,0,14,17,2,4,2,3,0,1
15/03/2023,19:30,Brighton,Crystal Palace,1,0,H,1,0,H,P Bankes,11,11,5,3,13,20,1,4,1,2,0,0
19/03/2023,14:00,Arsenal,Crystal Palace,4,1,H,2,0,H,S Attwell,15,8,5,4,8,10,5,4,0,1,0,0
09/04/2023,14:00,Leeds,Crystal Palace,1,5,A,1,1,D,S Hooper,11,16,7,8,11,8,2,4,3,1,0,0
15/04/2023,15:00,Southampton,Crystal Palace,0,2,A,0,0,D,M Oliver,11,9,4,2,6,13,6,2,3,1,0,0
25/04/2023,19:30,Wolves,Crystal Palace,2,0,H,1,0,H,R Jones,9,14,3,4,13,14,6,11,5,4,0,0
06/05/2023,15:00,Tottenham,Crystal Palace,1,0,H,1,0,H,D Madley,8,7,3,2,15,14,8,4,3,5,0,0
20/05/2023,15:00,Fulham,Crystal Palace,2,2,D,1,1,D,J Smith,11,11,4,5,13,12,7,4,3,0,0,0
