Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
14/08/2022,14:00,Nottingham,West Ham,1,0,H,1,0,H,R Jones,13,19,6,5,10,11,6,7,4,1,0,0
28/08/2022,16:30,Nottingham,Tottenham,0,2,A,0,1,A,C Pawson,17,18,1,7,11,13,6,1,6,1,0,0
03/09/2022,15:00,Nottingham,Bournemouth,2,3,A,2,0,H,M Oliver,11,8,3,3,13,10,4,6,2,1,0,0
16/09/2022,20:00,Nottingham,Fulham,2,3,A,1,0,H,J Gillett,11,15,3,7,11,10,2,10,2,4,0,0
10/10/2022,20:00,Nottingham,Aston Villa,1,1,D,1,1,D,A Taylor,6,12,3,2,13,19,1,4,3,3,0,0
22/10/2022,12:30,Nottingham,Liverpool,1,0,H,0,0,D,P Tierney,10,15,7,7,14,8,2,11,2,1,0,0
05/11/2022,15:00,Nottingham,Brentford,2,2,D,1,1,D,A Marriner,15,6,7,2,10,11,3,3,2,2,0,0
12/11/2022,15:00,Nottingham,Crystal Palace,1,0,H,0,0,D,J Brooks,9,8,2,0,11,13,1,5,1,4,0,0
01/01/2023,16:30,Nottingham,Chelsea,1,1,D,0,1,A,P Bankes,12,7,5,2,16,14,1,2,2,2,0,0
14/01/2023,15:00,Nottingham,Leicester,2,0,H,0,0,D,P Tierney,15,6,5,1,11,12,3,5,1,2,0,0
05/02/2023,14:00,Nottingham,Leeds,1,0,H,1,0,H,R Jones,6,10,2,4,15,14,0,2,4,2,0,0
18/02/2023,15:00,Nottingham,Man City,1,1,D,0,1,A,G Scott,4,26,1,6,8,6,0,10,1,0,0,0
05/03/2023,14:00,Nottingham,Everton,2,2,D,1,2,A,J Brooks,10,10,4,3,11,17,3,3,3,5,0,0
17/03/2023,20:00,Nottingham,Newcastle,1,2,A,1,1,D,P Tierney,5,15,3,4,17,9,3,7,5,1,0,0
01/04/2023,15:00,Nottingham,Wolves,1,1,D,1,0,H,C Kavanagh,17,8,7,1,14,13,4,3,3,5,0,0
16/04/2023,16:30,Nottingham,Man United,0,2,A,0,1,A,S Hooper,6,22,0,8,9,9,4,9,2,2,0,0
26/04/2023,19:30,Nottingham,Brighton,3,1,H,1,1,D,J Gillett,12,17,5,7,7,8,2,7,2,0,0,0
08/05/2023,20:00,Nottingham,Southampton,4,3,H,3,1,H,M Oliver,9,19,4,5,16,10,2,11,1,0,0,0
20/05/2023,17:30,Nottingham,Arsenal,1,0,H,1,0,H,A Taylor,6,11,2,3,11,12,3,6,3,2,0,0
06/08/2022,15:00,Newcastle,Nottingham,2,0,H,0,0,D,S Hooper,23,5,10,0,9,14,11,1,0,3,0,0
20/08/2022,15:00,Everton,Nottingham,1,1,D,0,0,D,A Marriner,19,14,8,5,6,9,6,2,3,2,0,0
31/08/2022,19:30,Man City,Nottingham,6,0,H,3,0,H,P Tierney,17,8,9,1,9,7,10,1,0,1,0,0
03/10/2022,20:00,Leicester,Nottingham,4,0,H,3,0,H,R Jones,17,10,7,3,13,12,6,6,2,4,0,0
15/10/2022,15:00,Wolves,Nottingham,1,0,H,0,0,D,T Bramall,9,10,2,2,17,13,4,5,2,2,0,0
18/10/2022,19:30,Brighton,Nottingham,0,0,D,0,0,D,D England,19,3,7,0,10,14,9,1,3,1,0,0
30/10/2022,14:00,Arsenal,Nottingham,5,0,H,1,0,H,S Hooper,24,5,10,2,9,8,9,4,0,1,0,0
27/12/2022,20:00,Man United,Nottingham,3,0,H,2,0,H,A Taylor,17,8,8,3,13,4,9,9,3,1,0,0
04/01/2023,19:30,Southampton,Nottingham,0,1,A,0,1,A,T Bramall,8,11,0,1,14,17,6,2,2,2,0,0
21/01/2023,15:00,Bournemouth,Nottingham,1,1,D,1,0,H,A Madley,16,20,4,5,10,7,4,6,1,2,0,0
11/02/2023,15:00,Fulham,Nottingham,2,0,H,1,0,H,A Madley,16,10,3,1,9,11,5,4,0,1,0,0
25/02/2023,15:00,West Ham,Nottingham,4,0,H,0,0,D,J Gillett,18,8,5,3,8,5,12,3,0,0,0,0
11/03/2023,15:00,Tottenham,Nottingham,3,1,H,2,0,H,C Pawson,15,9,7,5,13,13,2,10,3,1,0,0
04/04/2023,19:45,Leeds,Nottingham,2,1,H,2,1,H,R Jones,21,13,6,1,11,13,11,4,1,4,0,0
08/04/2023,15:00,Aston Villa,Nottingham,2,0,H,0,0,D,A Taylor,8,6,3,2,7,17,1,8,3,4,0,0
22/04/2023,15:00,Liverpool,Nottingham,3,2,H,0,0,D,M Oliver,18,11,6,5,9,12,9,3,0,1,0,0
29/04/2023,15:00,Brentford,Nottingham,2,1,H,0,1,A,P Bankes,14,5,8,3,6,13,6,0,1,2,0,0
13/05/2023,15:00,Chelsea,Nottingham,2,2,D,0,1,A,P Tierney,14,11,6,2,13,15,2,5,3,1,0,0
28/05/2023,16:30,Crystal Palace,Nottingham,1,1,D,0,1,A,J Bramall,16,7,4,4,9,13,5,4,0,2,0,0
